gpio,time,temperature,humidity,measure_name
22,1695304138720,76.1,63.35,metric
22,1695304402068,75.54,63.2,metric
22,1695304420056,75.57,63.66,metric
22,1695304555388,75.58,63.7,metric
22,1695304596766,75.68,63.75,metric
22,1695304611725,75.86,63.65,metric
22,1695304941017,75.47,63.95,metric
22,1695305136384,75.61,63.15,metric
22,1695305239980,75.87,63.46,metric
22,1695305261929,75.77,63.27,metric
22,1695305577491,75.59,63.23,metric
22,1695305611459,76.14,63.13,metric
22,1695305669896,75.51,63.05,metric
22,1695305955829,76.05,63.34,metric
22,1695306441278,75.63,63.44,metric
22,1695306540493,75.76,63.72,metric
22,1695306574038,75.83,63.54,metric
22,1695306755136,75.96,63.84,metric
22,1695306903263,75.89,63.08,metric
22,1695307075999,75.58,63.54,metric
22,1695307177014,76.01,63.27,metric
22,1695307194020,76.0,63.67,metric
22,1695307244633,75.26,63.3,metric
22,1695307335335,75.89,63.01,metric
22,1695307484293,75.29,63.11,metric
22,1695308033843,75.38,63.23,metric
22,1695308098354,76.16,63.67,metric
22,1695308242801,76.02,63.74,metric
22,1695308369722,75.78,63.61,metric
22,1695308743935,76.04,62.71,metric
22,1695308882365,75.41,62.37,metric
22,1695308894316,75.79,61.95,metric
22,1695309033477,75.23,61.81,metric
22,1695309207733,75.77,61.01,metric
22,1695309319105,75.38,61.53,metric
22,1695309426464,76.19,61.91,metric
22,1695309451517,75.34,61.03,metric
22,1695309855885,75.44,60.49,metric
22,1695309888889,75.88,60.42,metric
22,1695309962448,77.6,59.32,metric
22,1695310231729,77.27,59.58,metric
22,1695310258733,77.56,59.12,metric
22,1695310840228,77.12,57.74,metric
22,1695311174913,77.44,56.81,metric
22,1695311320891,79.31,57.11,metric
22,1695311636446,79.8,57.17,metric
22,1695311923751,78.93,56.78,metric
22,1695311956162,79.53,56.28,metric
22,1695312102065,79.2,56.1,metric
22,1695312635255,79.58,55.63,metric
22,1695313019533,79.55,54.09,metric
22,1695313088503,79.26,54.44,metric
22,1695313137287,79.63,54.75,metric
22,1695313220076,79.68,54.83,metric
22,1695313398842,79.61,54.95,metric
22,1695313563218,79.45,54.66,metric
22,1695313959473,79.05,54.4,metric
22,1695314322136,79.3,54.06,metric
22,1695314588555,78.94,54.06,metric
22,1695314987566,78.85,54.57,metric
22,1695315200524,79.01,54.62,metric
22,1695315541234,78.96,54.15,metric
22,1695315582832,79.71,54.35,metric
22,1695315607747,78.86,53.77,metric
22,1695316063390,79.66,54.52,metric
22,1695316225631,79.61,54.31,metric
22,1695316492078,79.21,54.87,metric
22,1695316537193,78.9,54.7,metric
22,1695316604117,78.89,54.02,metric
22,1695316887292,78.85,53.95,metric
22,1695316927797,79.29,53.32,metric
22,1695317199994,79.21,54.93,metric
22,1695317332078,79.65,54.67,metric
22,1695317847818,79.2,54.82,metric
22,1695317885183,78.97,54.77,metric
22,1695317906196,78.84,54.82,metric
22,1695318011106,79.73,54.12,metric
22,1695318064155,79.05,54.62,metric
22,1695318147341,79.57,54.33,metric
22,1695318253743,79.0,54.71,metric
22,1695318331877,78.91,54.75,metric
22,1695318421006,79.2,54.97,metric
22,1695318459562,78.87,54.67,metric
22,1695318529474,78.84,54.78,metric
22,1695318842340,78.98,55.95,metric
22,1695318876873,78.86,54.01,metric
22,1695319159128,79.05,54.07,metric
22,1695319260837,79.49,54.77,metric
22,1695319273769,79.42,54.64,metric
22,1695319550046,78.81,54.64,metric
22,1695319562029,78.84,55.35,metric
22,1695319736394,79.33,55.0,metric
22,1695320088386,79.49,56.67,metric
22,1695320241332,79.76,55.06,metric
22,1695320410208,79.13,56.92,metric
22,1695320956431,79.11,56.91,metric
22,1695321076456,79.0,56.52,metric
22,1695321111934,79.55,55.85,metric
22,1695321273127,79.16,55.52,metric
22,1695321912933,79.1,55.0,metric
22,1695321997276,79.3,55.42,metric
22,1695322221055,78.91,55.97,metric
